Attraction,Noel,Harsh,Vikranth,Muthuraj,Armaan
Dalhousie,4.8,4.201713607724113,2.3205444577864514,4.056673541325056,3.283458587489868
Kasauli,2.987973139203018,4.7,2.520394192882216,4.7,3.4257380993287887
Spiti Valley,4.9,4.517451703325136,1.514768991250238,4.893108088921045,4.9
Kullu,4.47200752142161,5.227442238333028,4.8,4.226497938320619,4.8
McLeod Ganj,4.7,5.3570115508687275,4.7,4.7,4.7
Chamba,2.7593910481024233,4.192413038727651,1.4742195417229427,4.6,4.6
Kufri,2.728949960297174,4.8,4.232320197437146,4.765371279436038,4.8
Kasol,1.8030579545629883,2.6989214710486076,1.001873672613576,3.2097522100451767,1.377835525964184
Palampur,3.5288829787995177,4.8,3.1048378501094973,4.873968083720709,4.8
Kinnaur,1.8124148278211112,2.7042763236312504,1.0039203310523512,3.214977296158771,1.385297834662775
Solang Valley,1.8034023444963623,2.694024588355487,0.9939693769776612,3.2041854842826654,1.3662663490407125
Narkanda,3.026435760301416,4.8,3.7443506096025487,4.423838097345745,3.0488939166846487
Mashobra,3.868377605454619,4.7,2.822312816964695,4.7,4.009575595347892
Tirthan Valley,1.8075709272342215,2.703145951266395,0.9954337083701871,3.2161108516729024,1.3859205096634089
Barot,1.805978012142752,2.7027204875715065,1.006408865081649,3.214528015767223,1.3832420529468534
Jogini Waterfall,3.6925133591080814,4.478781083403089,2.5717186169043895,4.620682016810441,4.8
Kalpa,5.227134491467538,4.6,4.6,4.329069966567459,4.6
Hampta Pass,4.7,4.76065635117412,4.7,3.732070805388423,2.0103055371252085
Rohtang Pass,1.7997594114901463,2.698055610151699,0.995951977323976,3.2108783962158953,1.3779288404564765
Triund,3.8146978002493954,4.7,2.6963624505147936,4.7,4.037765498411297
Chitkul,3.134581396347195,4.05246771424138,1.7080682589841958,4.6,3.5413807493734772
Parashar Lake,3.862103215470827,4.8,3.395366227048956,4.450213448721263,3.861155366995078
Bir Billing,4.7,4.7,3.5026104654871175,4.1476045881080115,3.7584572182692435
Malana,1.799330080093952,2.695239961489098,0.9925491399902809,3.2097362432750907,1.3721450209273989
Khajjiar,1.8279861418792214,2.708154005158317,1.0091482653360464,3.218997480258495,1.395365759790632
Chandratal Lake,2.7266636081025637,4.068076708968012,4.7,3.5604964701149773,1.9697764735898746
Great Himalayan National Park,1.7993725434278012,2.696074976563591,0.988919925979621,3.213452009109597,1.379971723238722
India Gate,4.9,5.670640866387524,4.9,4.9,4.745207101549986
Red Fort,2.8433240534150235,5.014890181635763,4.8,4.8,3.922450427672759
Qutub Minar,1.8019725864844005,2.7034017250907754,1.0044240325135627,3.213623350103991,1.3747204004960365
Humayun's Tomb,3.432399317401086,4.442605602418762,4.8,3.7942629201711617,3.1155390736888564
Lotus Temple,3.611438054838878,4.572640382121294,2.322811028158357,4.789997505386176,4.7
Akshardham Temple,4.9,4.9,3.274260587194632,4.399361867298772,4.426411559765724
Jama Masjid,3.8546790393661743,4.8,3.416262152124814,4.534692441861958,3.6287966266672713
Rashtrapati Bhavan,4.7,4.7,1.9529296181554683,5.128770232137276,4.7
Chandni Chowk,2.5353694363952024,3.622738237835219,4.6,3.246364361836462,1.4554209416316382
Lodhi Gardens,3.532387196055492,4.127858852797516,4.8,3.636314682053142,2.497639199473501
Jantar Mantar,2.3218144542463133,3.865170083018561,1.634731236588934,4.7,3.7767526223869448
Raj Ghat,1.6782277870938984,3.4991549181133603,4.8,3.2668696222250615,1.5395460091773587
Purana Qila,3.0947587475746703,4.0030285359377675,1.1144300176066466,4.7,3.4602255127690302
Hauz Khas Village,3.727047641445149,5.078684785284278,4.6,4.6,4.27540811263985
National Museum,1.8009780692440782,2.701931961893687,0.9989672092495077,3.21515327788731,1.3805371672534137
Sarojini Nagar Market,3.962824378394982,4.7,2.578972579444714,4.7,4.1134419170725165
Dilli Haat,1.7961290025206256,2.6959136714687,0.9896553414798634,3.2118145924077988,1.3770279298559283
Connaught Place,1.799811497553212,2.6956033062597577,0.9790728028495127,3.2154561169061786,1.379720837872778
Gurudwara Bangla Sahib,2.6218871447889285,3.8278775263476783,1.450937768572151,4.724631866873382,4.8
Safdarjung Tomb,2.431559036512928,4.821264732967851,4.6,4.6,4.3475306084226695
National Gallery of Modern Art,1.7953029561091258,2.694025290040362,0.988680718283938,3.210264657233825,1.374936648736817
Nehru Planetarium,2.203902913091618,4.8,4.8,4.120134669334668,2.271280205324961
Agrasen ki Baoli,1.8037593394132587,2.6950801686082015,0.9919732990931387,3.2091809140071987,1.3778033499687978
Khan Market,1.7960567208290896,2.6916901133846722,0.992314593547587,3.2045115294930677,1.3652598161384841
National Zoological Park,4.8,4.332739648934507,2.2343403520914835,4.007589419673833,3.797108108088236
Tughlaqabad Fort,4.7,4.5699498719822085,2.7921762504429557,4.7,4.758275263592216
Mehrauli Archaeological Park,1.7960784554559446,2.6922014465360675,0.9887493003966932,3.2055212447949746,1.3673929906379148
Garden of Five Senses,1.790940994526827,2.6946485199632155,0.9973588484617311,3.209285427698854,1.3721530217176197
Teen Murti Bhavan,1.8103383321128288,2.706803660075363,1.0041845884207008,3.2169498279308084,1.3891789537688213
Pragati Maidan,3.653157371098331,4.6,3.3122060489876577,4.339946705774693,3.4804144124757395
Tsomgo Lake,2.1912246747975246,3.7401385555516877,4.9,3.0948054315444553,1.9800882551575651
Nathula Pass,3.9326938080013383,4.8,3.240922690627938,4.59276638623986,3.7794723093535616
Yumthang Valley,3.4084291317657907,4.377036065603979,4.7,3.721369396070071,3.004596090513511
Gurudongmar Lake,1.809380389504236,2.7025848933050574,1.0092168623735824,3.2137066000943806,1.381308569584993
Pelling,4.7,3.7710598227957366,2.1110966096298145,3.7438888172327127,2.9679294693490466
Rumtek Monastery,4.9,5.396119731594089,4.9,4.8336145426654555,4.9
Lachen,3.414698913724901,4.8,4.8,4.8,5.102264053773618
Ravangla,1.8169969159189885,2.7046311392189537,1.0017578902637232,3.212244337346603,1.3837664897502788
Gangtok,4.6,4.6,2.7403059711228135,4.279260143217577,3.1999946966672104
Zuluk,1.7972926727455514,2.698154170170069,0.9977495343827115,3.210299300283785,1.376825830841871
Namchi,3.146214879880449,4.169552868526021,2.627749598790631,4.497704255029283,4.7
Khangchendzonga National Park,2.3630715641101343,4.115014449181592,4.8,3.3905474963272737,2.3487145972551184
Lachung,4.7,4.262615620685072,4.7,3.646780622691742,2.8017517891588595
Tashi View Point,4.6,3.6693731180355753,1.7392236561155596,3.5897547327659356,2.606555510049406
Phodong Monastery,3.1615060526892664,4.175430446121601,1.6975509255266146,4.8,3.7571434553626206
Khecheopalri Lake,2.2383913097421924,3.9804732264744027,4.7,3.25595644771276,0.9784850976157243
Enchey Monastery,1.8132175677724223,2.7062489251526873,0.9985829016197342,3.217711605229867,1.3892980200231406
Pemayangtse Monastery,3.2257927340847283,4.62799485972239,4.7,4.636355617209672,4.7
Singalila National Park,3.6745891650179088,4.611502736344715,3.0225246931628225,4.5477717319094335,4.8
Do Drul Chorten,4.7,4.54593508078468,1.7944879212912332,4.7,3.874735411648591
Hanuman Tok,1.8075826632534016,2.702052724864463,1.001793762000127,3.2133372096847475,1.3848676524206194
Kabi Lungchok,3.8687755273854614,4.92397942520064,4.8,4.523974828281795,4.8
Samdruptse Hill,1.7909840758103022,2.6973423641047813,0.9968744915732146,3.210565855487598,1.369801759504801
Siddheswar Dham,4.6,4.696709047108055,4.6,4.01378476371948,3.4287971552072385
Ranka Monastery,1.7979019123605327,2.701755093922436,0.9941972115764307,3.218005810534033,1.385835223985989
Goecha La,3.1155017082901675,3.8835753750639794,4.7,3.3403607148518475,1.9078482666523437
Baba Harbhajan Singh Temple,4.6,4.058868457166007,1.419896985768775,4.438954287715611,4.6
Saramsa Garden,4.574960603437997,4.8,4.8,4.1566084326474,3.9846272358794437
Dubdi Monastery,2.7227564790096594,4.7,4.7,4.171660894203345,2.4074543962049963
Norbugang Park,3.2810084320445307,4.187994365339687,4.6,3.7321342493761107,3.0753849695745896
Radhanagar Beach,1.810085330832733,2.7033415008646013,0.9901221214854831,3.218722505690906,1.3882658448004466
Havelock Island,1.807860468613975,2.7002671821495126,1.003341416752792,3.211309262056089,1.3757648132704814
Cellular Jail,2.965183695823776,4.082831596248894,1.7974767794989752,4.7,3.565387899686711
Ross Island,1.7824100717296794,2.686798092718867,0.9876502145458906,3.2045138004144267,1.360039690783915
Neil Island,4.7,4.7,2.9592492204925063,4.5422271174614455,4.7
Viper Island,2.7186149884839512,3.8864859560359406,1.4780439517152613,4.6,3.2656869519534553
